BioSample.ID	ImmPort Study ID	PubMed	Study Title	PI	Experiment ID	Cohort	Repository Accession	Type	Subtype	Biosample Name	Biosample Description	Species	Strain	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR1925836	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras off Dox	GSM1641461    	Colon	Polyp	shAPC/Kras OFF DOX 3_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	635	476	644	259	513	559	809	725	703	637
SRR1925837	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras off Dox	GSM1641462    	Colon	Polyp	shAPC/Kras OFF DOX 4_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	634	492	647	258	471	573	804	721	689	620
SRR1925838	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC off Dox	GSM1641463    	Colon	Polyp	shAPC OFF DOX 1_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	623	419	660	268	502	553	779	727	669	625
SRR1925839	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC off Dox	GSM1641464    	Colon	Polyp	shAPC OFF DOX 2_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	615	419	661	266	496	530	775	737	676	612
SRR1925840	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC off Dox	GSM1641465    	Colon	Polyp	shAPC OFF DOX 3_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	615	411	676	280	486	540	782	743	639	580
SRR1925841	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC off Dox	GSM1641466    	Colon	Polyp	shAPC OFF DOX 4_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	598	408	649	264	494	535	806	733	656	606
SRR1925842	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shRenilla on Dox	GSM1641467    	Colon	Mucosa	shRenilla On Dox 1_Colon Mucosa polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	491	410	655	279	455	476	760	697	603	521
SRR1925843	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shRenilla on Dox	GSM1641468    	Colon	Mucosa	shRenilla On Dox 2_Colon Mucosa polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	500	438	601	253	430	475	790	690	603	537
SRR1925844	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shRenilla off Dox	GSM1641469    	Colon	Mucosa	shRenilla OFF Dox 1_Colon Mucosa polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	497	407	668	280	398	486	781	692	590	517
SRR1925845	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shRenilla off Dox	GSM1641470  	Colon	Mucosa	shRenilla OFF Dox 2_Colon Mucosa polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	491	420	686	290	426	462	770	710	582	516
SRR2079134	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-negative GMP	GSM1721129	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-negative GMP (Csf1r- control) Bulk RNA Seq CAG-14915	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- Gfi1-IRES-Venus-negative (Csf1r- control)	Mus musculus	C57BL/6	628	534	589	651	792	641	619	691	707	664
SRR2079135	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-negative GMP	GSM1721130	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-negative GMP (Csf1r- control) Bulk RNA Seq 18Rosa-	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- Gfi1-IRES-Venus-negative (Csf1r- control)	Mus musculus	C57BL/6	637	534	584	624	806	636	618	691	700	712
SRR2079136	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-negative GMP	GSM1721131	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-negative GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-dim Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-dim	Mus musculus	C57BL/6	661	536	591	666	804	655	616	708	716	723
SRR2079137	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-negative GMP	GSM1721132	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-negative GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-bright	Mus musculus	C57BL/6	667	546	583	628	807	645	589	707	716	703
SRR2079138	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-negative GMP	GSM1721133	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-negative GMP ROSA-rtTA-M2-homozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- ROSArtTA-M2-homozygous Gfi1-IRES-Venus-bright	Mus musculus	C57BL/6	648	544	577	616	812	636	591	688	707	700
SRR2079139	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-positive GMP	GSM1721134	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-positive GMP (Csf1r+ control) Bulk RNA Seq CAG-14914	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ Gfi1-IRES-Venus-negative (Csf1r+ control)	Mus musculus	C57BL/6	626	564	550	541	741	618	611	648	707	699
SRR2079140	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-positive GMP	GSM1721135	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-positive GMP (Csf1r+ control) Bulk RNA Seq 17Rosa-	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ Gfi1-IRES-Venus-negative (Csf1r+ control)	Mus musculus	C57BL/6	594	538	552	581	763	604	593	633	694	676
SRR2079141	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-positive GMP	GSM1721136	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-positive GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-dim Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-dim	Mus musculus	C57BL/6	639	539	571	643	795	624	609	673	712	717
SRR2079142	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-positive GMP	GSM1721137	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-positive GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-bright	Mus musculus	C57BL/6	647	543	576	650	814	642	585	686	734	705
SRR2079143	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Csf1r-positive GMP	GSM1721138	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Csf1r-positive GMP ROSA-rtTA-M2-homozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ ROSArtTA-M2-homozygous Gfi1-IRES-Venus-bright	Mus musculus	C57BL/6	635	520	558	603	823	622	571	668	708	677
SRR2079144	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_LSK	GSM1721139	Bone Marrow	 Lineage-negative Sca1-positive c-Kit-positive (LSK)	Lineage-negative Sca1-positive c-Kit-positive (LSK) Bulk RNA Seq	Lin- CD117+ Sca1+ (LSK)	Mus musculus	C57BL/6	745	582	629	647	816	710	795	733	721	781
SRR2079145	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_CMP	GSM1721140	Bone Marrow	 Common Myeloid Progenitor (CMP)	Common Myeloid Progenitor (CMP) Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate (CMP)	Mus musculus	C57BL/6	707	580	594	617	828	657	680	686	732	733
SRR2079146	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_GMP	GSM1721141	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Granulocyte Macrophage Progenitor (GMP) Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+	Mus musculus	C57BL/6	689	563	595	618	815	610	641	658	703	709
SRR2079147	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Irf8-/-GMP	GSM1721142	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Irf8-/- GMP Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ Irf8-/-	Mus musculus	C57BL/6	648	527	563	582	821	600	590	638	689	695
SRR2079148	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE70235	BM_Gfi1-/- GMP	GSM1721143	Bone Marrow	 Granulocyte Macrophage Progenitor (GMP)	Gfi1-/- GMP Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ Gfi1-/-	Mus musculus	C57BL/6	722	569	567	620	806	668	663	681	736	739
SRR2352576	SDY1064	27150038	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	GSE72942	shControl_482N1 knockdown with shLuciferase	GSM1875035	Lung Cancer Cell	Lung adenocarcinoma lymph node metastasis 	482N1 shLuciferase rep1	482N1 lymph node metastasis-derived cell line knockdown with control shLuciferase, rep1	Mus musculus	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	756	694	760	428	719	609	961	715	679	709
SRR2352577	SDY1064	27150038	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	GSE72943	shControl_482N1 knockdown with shLuciferase	GSM1875036	Lung Cancer Cell	Lung adenocarcinoma lymph node metastasis 	482N1 shLuciferase rep2	482N1 lymph node metastasis-derived cell line knockdown with control shLuciferase, rep2	Mus musculus	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	758	694	771	423	710	617	956	714	693	702
SRR2352578	SDY1064	27150038	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	GSE72944	shArntl2_482N1 knockdown with shArntl2	GSM1875037	Lung Cancer Cell	Lung adenocarcinoma lymph node metastasis 	482N1 shArntl2 #1 rep1	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone1, rep1	Mus musculus	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	765	717	757	392	741	613	975	730	682	708
SRR2352579	SDY1064	27150038	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	GSE72945	shArntl2_482N1 knockdown with shArntl2	GSM1875038	Lung Cancer Cell	Lung adenocarcinoma lymph node metastasis 	482N1 shArntl2 #1 rep2	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone1, rep2	Mus musculus	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	769	780	778	387	729	623	982	731	690	719
SRR2352580	SDY1064	27150038	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	GSE72946	shArntl2_482N1 knockdown with shArntl2	GSM1875039	Lung Cancer Cell	Lung adenocarcinoma lymph node metastasis 	482N1 shArntl2 #2 rep1	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone2, rep1	Mus musculus	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	749	690	757	431	716	611	948	711	683	706
SRR2352581	SDY1064	27150038	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	GSE72947	shArntl2_482N1 knockdown with shArntl2	GSM1875040	Lung Cancer Cell	Lung adenocarcinoma lymph node metastasis 	482N1 shArntl2 #2 rep2	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone2, rep2	Mus musculus	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	747	690	778	441	719	607	940	712	674	714
SRR3162396	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77846	mus_AML_bulk splenocytes	GSM2060312	Spleen	ckit+ splenocytes	8303 Flt3ITD/ITD,Dnmt3afl/- MxCre AML	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, bulk RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	633	548	654	625	701	566	645	660	620	616
SRR3162397	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77846	mus_AML_bulk splenocytes	GSM2060313	Spleen	ckit+ splenocytes	9301 Flt3ITD/ITD,Dnmt3afl/- MxCre AML	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, bulk RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	604	515	625	596	617	548	655	632	631	610
SRR3162398	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77846	mus_AML_bulk splenocytes	GSM2060314	Spleen	ckit+ splenocytes	9797 Flt3ITD/ITD,Dnmt3afl/- MxCre AML	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, bulk RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	587	559	615	576	546	562	671	623	649	615
SRR3162399	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77846	mus_MPN_control_bulk splenocytes	GSM2060315	Spleen	ckit+ splenocytes	9796 Flt3ITD/ITD,Dnmt3afl/fl MPN	mice with myeloproliferative neoplasma, Flt3 ITD/ITD; Dnmt3a fl/fl mice, bulk RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	537	518	630	581	631	509	557	588	606	586
SRR3162400	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77846	mus_MPN_control_bulk splenocytes	GSM2060316	Spleen	ckit+ splenocytes	9798 Flt3ITD/ITD,Dnmt3afl/fl MPN	mice with myeloproliferative neoplasma, Flt3 ITD/ITD; Dnmt3a fl/fl mice, bulk RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	549	522	631	579	635	500	575	592	612	596
SRR3162401	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77846	mus_MPN_control_bulk splenocytes	GSM2060317	Spleen	ckit+ splenocytes	9927 Flt3ITD/ITD,Dnmt3afl/fl MPN	mice with myeloproliferative neoplasma, Flt3 ITD/ITD; Dnmt3a fl/fl mice, bulk RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	500	458	628	567	671	475	516	586	569	572
SRR3162402	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77847	mus_AML_single splenocyte Cell	GSM2060320	Spleen	HSPC-like-3 of ckit+ splenocytes	Cell1-A1 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	711	540	260	393	768	687	701	617	731	790
SRR3162403	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77847	mus_AML_single splenocyte Cell	GSM2060321	Spleen	HSPC-like-4 of ckit+ splenocytes	Cell10-B3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	769	521	66	392	772	713	669	605	734	789
SRR3162404	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77847	mus_AML_single splenocyte Cell	GSM2060322	Spleen	Macrophage/Dendritic Precur. of ckit+ splenocytes	Cell11-E3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	666	827	57	440	515	715	669	550	761	785
SRR3162405	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77847	mus_AML_single splenocyte Cell	GSM2060323	Spleen	HSPC-like-1 of ckit+ splenocytes	Cell12-F3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	746	531	62	445	960	730	704	624	744	811
SRR3162406	SDY1099	27016502	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	GSE77847	mus_AML_single splenocyte Cell	GSM2060324	Spleen	HSPC-like-2 of ckit+ splenocytes	Cell13-H3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	Mus musculus	C57BL/6-Ly5.2 (CD45.2)	674	583	224	483	751	753	679	582	758	777
